ZONA;PROMOT.;A_TOTAL_(m2);P_TOTAL_(m);A_SALON;P_SALON;A_COCINA;P_COCINA;A_BAÑO1;P_BAÑO1;A_BAÑO2;P_BAÑO2;A_BAÑO3;P_BAÑO3;A_BAÑO4;P_BAÑO4;A_ASEO;P_ASEO;A_DORM1;P_DORM1;A_DORM2;P_DORM2;A_DORM3;P_DORM3;A_DORM4;P_DORM4;A_DORM5;P_DORM5;A_DORM6;P_DORM6;A_ENTRADA;P_ENTRADA;A_PASILLO;P_PASILLO;A_LAVADERO;P_LAVADERO;A_TERRAZA;P_TERRAZA
Sevilla;Torremagna;94.8;155.742;22;29.48;8.6;11.524;5.5;12.98;4.4;10.384;;;;;;;15.4;20.636;8.9;11.926;8.8;11.792;8;10.72;;;;;;;13.2;36.3;;;11.9;7.14
Granada;Alma F2;95.2;150.134;25.4;34.036;9.5;12.73;4.4;10.384;3.9;9.204;;;;;;;14;18.76;9.8;13.132;9.1;12.194;9.1;12.194;;;;;4.3;11.825;5.7;15.675;;;19.3;11.58
Valencia;Taverne Blanques - AProperties;95.24;1.526.686;31.912;4.276.208;7.978;1.069.052;4.58;108.088;3.77;88.972;;;;;;;13.81;185.054;11.21;150.214;9.46;126.764;4.16;11.44;;;;;2.87;78.925;2.61;71.775;2.88;67.968;;
Segovia;Construmad;95.37;1.481.688;25.63;343.442;11.38;152.492;4.65;10.974;4.32;101.952;;;;;;;15.65;20.971;12.94;173.396;12.84;172.056;;;;;;;2.85;78.375;5.11;140.525;;;2.7;1.62
Sevilla;Torremagna;95.4;152.322;24.8;33.232;9.1;12.194;3.6;8.496;3.4;8.024;;;;;1.8;4.248;14.2;19.028;10.1;13.534;8.7;11.658;8.7;11.658;;;;;;;11;30.25;;;13.1;7.86
;;95.53;1.506.254;33.57;449.838;9.6;12.864;3.69;87.084;3.69;87.084;3.27;77.172;;;1.8;4.248;12;16.08;11.55;15.477;8.55;11.457;;;;;;;;;5;13.75;2.81;66.316;;
Teruel;Las Dalias;95.55;150.909;26.85;35.979;13.15;17.621;4.5;10.62;4.1;9.676;;;;;;;16.7;22.378;10.35;13.869;9.9;13.266;;;;;;;8.7;23.925;1.3;3.575;;;101.7;61.02
;;95.6;161.515;28.5;38.19;9.45;12.663;4.8;11.328;4.25;10.03;;;;;;;13.05;17.487;8.75;11.725;8.6;11.524;;;;;;;8.55;235.125;5.85;160.875;3.8;8.968;13.4;8.04
Córdoba;Panorama - Metrovacesa;95.6;146.431;24.2;32.428;11.9;15.946;4;9.44;3.6;8.496;;;;;;;14.4;19.296;10.3;13.802;10.3;13.802;9.4;12.596;;;;;5;13.75;2.5;6.875;;;;
Madrid;El Pinar Caleruega - Proceparsa;95.91;1.456.404;29.01;388.734;18.88;252.992;5.86;138.296;4.29;101.244;;;;;;;13.7;18.358;10.14;135.876;9.23;123.682;;;;;;;;;4.8;13.2;;;59.87;35.922
Pamplona;Abaigar Izarra Plaza;96.46;1.465.346;28.82;386.188;9.84;131.856;4.09;96.524;4.03;95.108;;;;;;;19.16;256.744;12.82;171.788;11.32;151.688;;;;;;;2.46;6.765;3.92;10.78;;;32.61;19.566
Pamplona;Abaigar Izarra Plaza;96.78;1.469.634;29.02;388.868;10.15;13.601;4.09;96.524;4.03;95.108;;;;;;;19.16;256.744;12.63;169.242;11.32;151.688;;;;;;;2.46;6.765;3.92;10.78;;;61.76;37.056
Alicante;Guadarmar del Segura - Aproperties;96.95;1.663.759;30.808;4.128.272;7.702;1.032.068;5.19;122.484;2.51;59.236;;;;;;;11.82;158.388;10.05;13.467;8.58;114.972;3.08;8.47;;;;;11.96;32.89;5.25;144.375;;;;
Albacete;Santa Quiteria;97.16;1.463.848;27.08;362.872;11.49;153.966;4.13;97.468;3.2;7.552;;;;;;;15.86;212.524;10.6;14.204;10.02;134.268;8.6;11.524;;;;;;;6.18;16.995;;;4.3;2.58
Pamplona;Abaigar Izarra Plaza;97.29;1.487.697;36.952;4.951.568;9.238;1.237.892;4.11;96.996;3.77;88.972;;;;;;;14.48;194.032;10.95;14.673;10.44;139.896;;;;;;;3.51;96.525;3.84;10.56;;;132.12;79.272
Alicante;Guadarmar del Segura - Aproperties;97.69;1.522.067;32.56;436.304;8.14;109.076;4.49;105.964;3.87;91.332;;;;;;;15.95;21.373;12.16;162.944;11.02;147.668;3.41;93.775;;;;;;;4.5;12.375;1.59;37.524;6.59;3.954
Sevilla;Altos del Aire - Insur;98;1.602.241;22.44;300.696;9.22;123.548;3.84;90.624;3.36;79.296;;;;;;;13.05;17.487;10.12;135.608;10.03;134.402;9.67;129.578;;;;;9.5;26.125;3.23;88.825;3.54;83.544;;
Barcelona;Oslo Bulding;98.25;1.610.919;26.59;356.306;9.28;124.352;4.84;114.224;3.78;89.208;;;;;2.5;5.9;14.03;188.002;8.58;114.972;7.92;106.128;7.72;103.448;;;;;4.87;133.925;7.5;20.625;0.64;15.104;7.5;4.5
Valladolid;Resid. Castilla;100.05;153.54;23.6;31.624;12.05;16.147;4.85;11.446;4.15;9.794;;;;;;;15.6;20.904;12.25;16.415;10.3;13.802;9.95;13.333;;;;;7.3;20.075;;;;;117.95;70.77
Sevilla;Navalcerrada - Palmas Altas;100.2;155.85;25.9;34.706;11.1;14.874;4;9.44;3.7;8.732;2.4;5.664;;;;;13.3;17.822;13;17.42;9.4;12.596;9.4;12.596;;;;;5;13.75;3;8.25;;;19.5;11.7
Sevilla;Torremagna;100.3;163.859;22.8;30.552;8.9;11.926;3.9;9.204;3.2;7.552;;;;;;;15.6;20.904;9.3;12.462;9.3;12.462;9;12.06;;;;;5.4;14.85;3.7;10.175;9.2;21.712;;
Alicante;Thalassa - Metrovacesa ;101.8;170.573;21.1;28.274;14.9;19.966;3.5;8.26;3.5;8.26;;;;;;;13.1;17.554;9.6;12.864;9.4;12.596;6.9;9.246;;;;;4.2;11.55;13.3;36.575;2.3;5.428;16.1;9.66
Sevilla;Etna;102;165.252;24.4;32.696;10.7;14.338;4.9;11.564;4.1;9.676;;;;;2.7;6.372;13.5;18.09;10.2;13.668;9.9;13.266;9.8;13.132;;;;;5.1;14.025;6.7;18.425;;;13.6;8.16
Albacete;Santa Quiteria;103.8;1.606.923;28.408;3.806.672;7.102;951.668;3.71;87.556;3.27;77.172;;;;;;;14.33;192.022;13.65;18.291;12.14;162.676;10.92;146.328;;;;;;;10.27;282.425;;;10.67;6.402
Navarra;Optima / Ardoi;104;1.680.985;26.85;35.979;11.7;15.678;4.4;10.384;3.8;8.968;;;;;;;14.05;18.827;10.45;14.003;10.05;13.467;8.25;11.055;;;;;9.4;25.85;5.05;138.875;;;95;57
Isla Canela;Ocean Homes - Pryconsa;104.08;1.627.358;30.208;4.047.872;7.552;1.011.968;9.05;21.358;3.99;94.164;;;;;2.09;49.324;17.45;23.383;14.61;195.774;13;17.42;;;;;;;;;4.06;11.165;2.07;48.852;88.96;53.376
Gines;Azaire;104.09;1.624.972;29.18;391.012;10.25;13.735;4.01;94.636;3.93;92.748;;;;;;;15.68;210.112;11.12;149.008;9.87;132.258;9.47;126.898;;;;;5.14;14.135;5.44;14.96;;;57.25;34.35
Navarra;Optima / Ardoi;104.45;1.659.715;24.5;32.83;12.8;17.152;4.2;9.912;3.95;9.322;;;;;;;16.65;22.311;10.5;14.07;10.3;13.802;9;12.06;;;;;6.3;17.325;6.25;171.875;;;119.8;71.88
Alicante;Guadarmar del Segura - Aproperties;104.83;1.718.723;35.6;47.704;8.9;11.926;4.68;110.448;4.36;102.896;;;;;;;12.56;168.304;9.59;128.506;9.28;124.352;6.92;19.03;4.13;55.342;;;5.78;15.895;3.03;83.325;;;;
;Essencia de Sabadell / Realia;104.89;1.678.862;31.69;424.646;10.89;145.926;4.06;95.816;3.44;81.184;;;;;;;13.24;177.416;9.79;131.186;9.67;129.578;8.15;10.921;;;;;8.23;226.325;5.73;157.575;;;;
Sevilla;Bermes II / Insur;104.98;1.699.271;28.696;3.845.264;7.174;961.316;5;11.8;4.62;109.032;;;;;2.97;70.092;14.05;18.827;10.02;134.268;10.04;134.536;9.65;12.931;;;;;4.75;130.625;3.96;10.89;4.05;9.558;16.22;9.732
Segovia;Construmad;105.14;1.743.415;24.16;323.744;13.02;174.468;5.8;13.688;4.59;108.324;;;;;;;14.54;194.836;14.5;19.43;12.32;165.088;5.06;13.915;;;;;5.3;14.575;5.85;160.875;;;;
;;105.55;1.611.848;20.09;269.206;19.75;26.465;4.2;9.912;;;;;;;1.89;44.604;18.92;253.528;12.47;167.098;9.6;12.864;9.03;121.002;;;;;;;9.6;26.4;;;;
;;105.89;1.628.014;37.18;498.212;13;17.42;3.46;81.656;3.52;83.072;;;;;2.46;58.056;16.6;22.244;14.05;18.827;7.62;102.108;;;;;;;;;8;22;;;;
Albacete;Santa Quiteria;106.35;1.586.046;31.4;42.076;10.84;145.256;3.55;8.378;2.83;66.788;;;;;;;18.06;242.004;11.99;160.666;10.53;141.102;10.35;13.869;;;;;;;6.8;18.7;;;14.04;8.424
Sabadell;Jardins de Can Gambus - Metrovacesa;106.35;1.644.819;44.17;591.878;9.21;123.414;5.39;127.204;4.72;111.392;;;;;;;12.27;164.418;8.56;114.704;7.69;103.046;6.07;81.338;;;;;4.31;118.525;3.96;10.89;;;96.92;58.152
Teruel;Las Dalias;107.4;1.688.475;27.4;36.716;13.75;18.425;4.1;9.676;4.1;9.676;;;;;;;16.55;22.177;10.35;13.869;10;13.4;9.4;12.596;;;;;10.45;287.375;1.3;3.575;;;24.35;14.61
Manresa;Nova Alcoholera - Metrovacesa;107.6;183.085;29.04;389.136;7.26;97.284;4.2;9.912;3.3;7.788;;;;;;;12.8;17.152;10.4;13.936;9.9;13.266;7.9;10.586;2.7;7.425;;;9.3;25.575;8.5;23.375;2.3;5.428;12.2;7.32
;Essencia de Sabadell / Realia;107.68;174.716;29.34;393.156;10.57;141.638;4.98;117.528;4.4;10.384;;;;;2.92;68.912;13.7;18.358;9.75;13.065;9.75;13.065;9.59;128.506;;;;;4.26;11.715;8.42;23.155;;;;
Valencia;Lyra - Metrovacesa;108.1;173.219;36.56;489.904;9.14;122.476;4;9.44;3.7;8.732;;;;;;;15.1;20.234;12.9;17.286;11.6;15.544;2.9;7.975;;;;;3.4;9.35;6.8;18.7;2;4.72;;
;;108.73;1.772.324;30.184;4.044.656;7.546;1.011.164;4.42;104.312;3.77;88.972;;;;;;;15.05;20.167;11;14.74;10.44;139.896;9.88;132.392;9.55;262.625;;;;;6.89;189.475;;;;
;Taormina / Pryconsa Cantalejo;108.75;1.753.206;31.68;424.512;10.99;147.266;5.31;125.316;4.4;10.384;;;;;2.8;6.608;15.27;204.618;14.24;190.816;12.12;162.408;;;;;;;4.81;132.275;7.13;196.075;;;112.96;67.776
;;109.1;1.818.238;21.12;283.008;25.35;33.969;6.2;14.632;3.76;88.736;;;;;2.27;53.572;13.2;17.688;10.49;140.566;9.4;12.596;4.98;13.695;;;;;6.12;16.83;3;8.25;3.21;75.756;;
Madrid;Borea Arroyo Fresno Portablanca / Fcc;109.12;1.731.917;28.51;382.034;11.09;148.606;4.91;115.876;3.97;93.692;3.78;89.208;;;;;16.7;22.378;11.14;149.276;10.11;135.474;8.94;119.796;;;;;4.86;13.365;5.11;140.525;;;15.7;9.42
Pontevedra;Novolerez - Metrovacesa;109.7;178.513;32.4;43.416;10.1;13.534;5;11.8;4;9.44;;;;;3;7.08;11.9;15.946;9.6;12.864;9.6;12.864;9.6;12.864;;;;;2.9;7.975;8.6;23.65;3;7.08;;
Teruel;Las Dalias;110.5;1.762.955;24.25;32.495;17.85;23.919;4.65;10.974;3.6;8.496;;;;;;;15.55;20.837;11.25;15.075;10.25;13.735;9.05;12.127;;;;;10.35;284.625;3.7;10.175;;;138.45;83.07
Avilés;Aralis II - Arqura Homes;110.63;1.874.551;23.11;309.674;13.02;174.468;5.27;124.372;4.3;10.148;;;;;2.4;5.664;12.96;173.664;12.37;165.758;10.04;134.536;8.01;107.334;;;;;8.86;24.365;10.29;282.975;;;4.09;2.454
;;112.3;1.851.971;30.72;411.648;14.43;193.362;3.68;86.848;3.58;84.488;7.85;18.526;;;;;15.51;207.834;13.2;17.688;9.64;129.176;;;;;;;3.04;8.36;10.65;292.875;;;;
;;113.81;1.823.086;32.76;438.984;13.26;177.684;3.51;82.836;3.51;82.836;;;;;2.21;52.156;19.2;25.728;8.4;11.256;8.4;11.256;8.1;10.854;3.78;10.395;;;3.68;10.12;7;19.25;;;;
;Taormina / Pryconsa Cantalejo;113.92;1.875.968;25;33.5;11.31;151.554;5.97;140.892;3.83;90.388;;;;;2.54;59.944;19.96;267.464;10.28;137.752;9.28;124.352;8.97;120.198;;;;;6.34;17.435;7.1;19.525;3.34;78.824;7.89;4.734
Navarra;Optima / Ardoi;114;179.634;32.9;44.086;12.7;17.018;4.2;9.912;3.9;9.204;;;;;;;16.85;22.579;10.65;14.271;10.4;13.936;9.2;12.328;;;;;6.9;18.975;6.3;17.325;;;19.3;11.58
Cuenca;Villa Roman;114.65;1.850.389;25.57;342.638;13.59;182.106;5.14;121.304;4.35;10.266;;;;;;;17.38;232.892;11.16;149.544;11.03;147.802;11.02;147.668;;;;;7;19.25;8.41;231.275;;;21.55;12.93
Oviedo;Alveum III - Arqura Homes;114.89;1.879.981;26.29;352.286;12.86;172.324;4.36;102.896;4.28;101.008;;;;;;;14.88;199.392;12.48;167.232;12.12;162.408;9.08;121.672;;;;;9.43;259.325;6.78;18.645;2.33;54.988;13.18;7.908
Pontevedra;Novolerez - Metrovacesa;115.1;182.974;33.5;44.89;10.8;14.472;5.1;12.036;4.3;10.148;;;;;;;16.2;21.708;10.3;13.802;10.3;13.802;9.8;13.132;;;;;3.4;9.35;7;19.25;4.4;10.384;;
Teruel;Las Dalias;115.3;187.463;25.55;34.237;16.75;22.445;4.55;10.738;3.85;9.086;;;;;;;16.7;22.378;10.3;13.802;10.3;13.802;10;13.4;;;;;4;11;13.3;36.575;;;28.85;17.31
;;115.44;1.956.297;24.41;327.094;21.11;282.874;4.59;108.324;3.53;83.308;3.53;83.308;;;2.43;57.348;15.7;21.038;10.38;139.092;10.13;135.742;9.59;263.725;;;;;4.61;126.775;2.61;71.775;2.82;66.552;;
Madrid;Mesena - Metrovacesa ;117.6;184.611;29.3;39.262;11.2;15.008;4.8;11.328;3.6;8.496;;;;;2.2;5.192;22.8;30.552;11.1;14.874;10.7;14.338;10.4;13.936;;;;;5.7;15.675;5.8;15.95;;;13.7;8.22
;;120.7;199.718;30.5;40.87;19.7;26.398;6.8;16.048;5.1;12.036;;;;;1.9;4.484;15.6;20.904;11.9;15.946;11.5;15.41;;;;;;;6.3;17.325;8.7;23.925;2.7;6.372;;
Segovia;Construmad;121.19;1.990.441;27.08;362.872;13.04;174.736;5.67;133.812;5.42;127.912;;;;;;;14.58;195.372;12.93;173.262;12.33;165.222;12.17;163.078;5.06;13.915;;;6.44;17.71;6.47;177.925;;;2.62;1.572
Madrid;Mesena - Metrovacesa ;123.4;198.965;33.3;44.622;13.6;18.224;4.7;11.092;3.8;8.968;3.3;7.788;;;;;18.7;25.058;10.5;14.07;10.2;13.668;10;13.4;;;;;5.9;16.225;9.4;25.85;;;136.3;81.78
La Coruña;Parque Eiris - Metrovacesa;123.8;208.567;26.3;35.242;10.5;14.07;6.8;16.048;3.8;8.968;3.1;7.316;;;;;16.1;21.574;12.3;16.482;12;16.08;11.3;15.142;;;;;2.7;7.425;14.4;39.6;4.5;10.62;104.6;62.76
;;125;184.84;40;53.6;15;20.1;7;16.52;4;9.44;4;9.44;2;4.72;;;21;28.14;16;21.44;16;21.44;;;;;;;;;;;;;;
Bilbao;Luz Enea - Pryconsa;125.16;2.029.542;30.2;40.468;11.01;147.534;4.58;108.088;3.15;7.434;;;;;2.51;59.236;24.33;326.022;11.21;150.214;10.03;134.402;10.01;134.134;;;;;10.21;280.775;5.95;163.625;1.97;46.492;35.04;21.024
;;126.33;2.181.582;31.54;422.636;4.08;54.672;3.78;89.208;3.38;79.768;;;;;;;14.8;19.832;14.08;188.672;12.75;17.085;9.88;132.392;6;16.5;;;;;16.8;46.2;9.24;218.064;;
Bilbao;Luz Enea - Pryconsa;126.5;2.038.741;30.86;413.524;9.8;13.132;5.13;121.068;3.19;75.284;;;;;2.6;6.136;26.39;353.626;11.37;152.358;10.11;135.474;10.08;135.072;;;;;9.99;274.725;5.18;14.245;1.8;4.248;39.08;23.448
;;127.13;2.018.884;18.4;24.656;37.73;505.582;4.42;104.312;3.77;88.972;;;;;;;15.05;20.167;11;14.74;10.44;139.896;9.88;132.392;9.55;262.625;;;;;6.89;189.475;;;;
;;127.97;2.273.983;34.864;4.671.776;8.716;1.167.944;8.41;198.476;5.34;126.024;;;;;;;18.61;249.374;10.44;139.896;10.44;139.896;6.8;18.7;;;;;7;19.25;12.15;334.125;5.2;12.272;;
Alicante;Guadarmar del Segura - Aproperties;129.44;2.000.413;36.24;485.616;9.06;121.404;4.66;109.976;4.16;98.176;3.33;78.588;;;;;30.81;412.854;11.53;154.502;10.28;137.752;9.3;12.462;3.32;9.13;;;6.75;185.625;;;;;;
Pontevedra;Novolerez - Metrovacesa;132.8;216.265;37.7;50.518;12.6;16.884;5.8;13.688;5.6;13.216;3.7;8.732;;;;;16;21.44;11.5;15.41;11.3;15.142;11.3;15.142;;;;;4.4;12.1;9.1;25.025;3.8;8.968;;
Madrid;Borea Arroyo Fresno Portablanca / Fcc;135.25;2.132.612;36.92;494.728;12.46;166.964;4.2;9.912;4.08;96.288;2.77;65.372;;;;;21.64;289.976;12.96;173.664;12.95;17.353;12.55;16.817;;;;;7.72;21.23;7;19.25;;;28.28;16.968
Albacete;Santa Quiteria;140.84;2.228.236;31.09;416.606;9.46;126.764;6.24;147.264;4.74;111.864;;;;;;;22.23;297.882;21.79;297.882;11.22;150.348;10.81;144.854;7.02;94.068;5.73;157.575;;;10.51;289.025;;;18;10.8
;;147.75;2.586.771;36.25;48.575;14.83;198.722;6.57;155.052;3.95;9.322;;;;;3.09;72.924;13.33;178.622;12.72;170.448;12.43;166.562;10.43;139.762;7.8;21.45;;;13.26;36.465;9.65;265.375;3.44;81.184;;
Sarriá;Esencia Sarriá;158.77;2.819.513;31.42;421.028;13.99;187.466;8.11;191.396;6.45;15.222;4.28;101.008;;;3.36;79.296;15.27;204.618;13.26;177.684;10.19;136.546;10.1;13.534;7.69;103.046;9.58;26.345;11.25;309.375;7.92;21.78;5.9;13.924;15.24;9.144
;;198.7;338.087;40;53.6;28;37.52;9;21.24;6;14.16;;;;;2.2;5.192;37;49.58;14;18.76;12;16.08;12;16.08;;;;;12.5;34.375;26;71.5;;;;
