zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Coruna,Caleida - Metrovacesa,86.40,3,2,0,20.40,27.34,9.10,12.19,5.20,12.27,4.50,10.62,,,,,15.60,20.90,8.50,11.39,8.40,11.26,,,4.30,11.83,6.50,17.88,3.90,9.20
Coruna,Parque Eiris - Metrovacesa,123.80,4,3,0,26.30,35.24,10.50,14.07,6.80,16.05,3.80,8.97,3.10,7.32,,,16.10,21.57,12.30,16.48,12.00,16.08,11.30,15.14,2.70,7.43,14.40,39.60,4.50,10.62
Madrid,El Pinar Caleruega - Proceparsa,68.66,2,2,0,23.53,31.53,6.50,8.71,5.07,11.97,4.41,10.41,,,,,14.13,18.93,11.82,15.84,,,,,,,3.20,8.80,,
Madrid,Borea Arroyo Fresno Portablanca / Fcc,77.44,2,1,0,29.87,40.03,9.66,12.94,4.69,11.07,,,,,,,12.94,17.34,10.97,14.70,,,,,5.40,14.85,3.91,10.75,,
Madrid,Mesena - Metrovacesa ,72.20,2,2,0,22.10,29.61,11.20,15.01,4.10,9.68,3.80,8.97,,,,,14.60,19.56,9.70,13.00,,,,,4.30,11.83,2.40,6.60,,
Madrid,El Pinar Caleruega - Proceparsa,95.91,3,2,0,29.01,38.87,18.88,25.30,5.86,13.83,4.29,10.12,,,,,13.70,18.36,10.14,13.59,9.23,12.37,,,,,4.80,13.20,,
Madrid,Borea Arroyo Fresno Portablanca / Fcc,84.09,3,1,0,25.25,33.84,10.73,14.38,4.87,11.49,,,,,,,15.41,20.65,10.67,14.30,9.96,13.35,,,5.47,15.04,1.73,4.76,,
Madrid,El Pinar Caleruega - Proceparsa,85.76,3,2,0,26.56,35.59,11.42,15.30,4.43,10.45,4.21,9.94,,,,,13.76,18.44,10.46,14.02,10.13,13.57,,,,,4.79,13.17,,
Madrid,Borea Arroyo Fresno Portablanca / Fcc,80.01,3,1,0,22.99,30.81,9.00,12.06,4.82,11.38,,,,,,,16.56,22.19,10.73,14.38,8.73,11.70,,,5.47,15.04,1.71,4.70,,
Madrid,Mesena - Metrovacesa ,117.60,4,2,1,29.30,39.26,11.20,15.01,4.80,11.33,3.60,8.50,,,2.20,5.19,22.80,30.55,11.10,14.87,10.70,14.34,10.40,13.94,5.70,15.68,5.80,15.95,,
Madrid,Borea Arroyo Fresno Portablanca / Fcc,135.25,4,3,0,36.92,49.47,12.46,16.70,4.20,9.91,4.08,9.63,2.77,6.54,,,21.64,29.00,12.96,17.37,12.95,17.35,12.55,16.82,7.72,21.23,7.00,19.25,,
